query_id,language,query,tool_labels,difficulty
RT065312,hu,"Most járok ott először. Milyen tömegközlekedési bérletet érdemes venni Amsterdam városában 10 napra? A szállás már megvan, hotelt ne keress.",transport,single
RT064745,en,"I'd rather keep the plan flexible. A practical question: Find museums, parks or historic places in Vienna. And i need practical local information about Vienna.",attractions|location,multi
RT042845,hu,Jövő héten készülök. Hol lehet jót enni Copenhagen városában? Végül mutass szobákat Copenhagen városában 5 éjre legfeljebb 140 euróért.; ajánlj múzeumokat és nevezetességeket Copenhagen városában.,attractions|hotel|restaurant,multi
RT038766,en,"I'm planning this later this month. For an upcoming city break, Build a sightseeing list for Florence, especially museums and landmarks.",attractions,single
RT221074,en,"Quick travel question: I still need lodging in Stockholm; 9 nights, budget 230 EUR/night.",hotel,single
RT039428,hu,"Egy tavaszi kiruccanásra készülök. 5 éjszakára kell hotel Warsaw városában, maximum 230 euróért éjszakánként. Tartsd be a fenti kereteket.",hotel,single
RT217484,hu,"Utazást tervezek. Hol ennél Innsbruck városában nagyjából 24 euróból fejenként? Végül hol tudok megszállni Innsbruck városában 4 éjszakára legfeljebb 140 euróért? Továbbá mi az ésszerű tömegközlekedési megoldás Innsbruck városában? Rövid, rangsorolt lista is elég.",hotel|restaurant|transport,multi
RT230608,hu,"Szeretném rendesen megtervezni az utat. Add meg a legfontosabb gyakorlati tényeket München városáról. Arra is szükségem van, hogy alkalmas lesz az idő szabadtéri programokra München városában? Legyen inkább praktikus a válasz.",location|weather,multi
RT126685,en,Find good Italian restaurants in Vilnius under 39 EUR each.,restaurant,single
RT214682,en,I care more about value than luxury. Where could I have a decent meal in Seville without exceeding 42 EUR?,restaurant,single
RT081697,en,"I'm planning this for a spring break. This is a first visit. Quick travel question: Estimate public transport costs in Istanbul for 10 days. Next, find restaurants in Istanbul, preferably vegan, rated at least 4.7.",restaurant|transport,multi
RT011602,hu,"Mutasd a metró-, busz- és bérletlehetőségeket Naples városában. Ha már itt tartunk, milyen nyelvre és pénznemre készüljek Naples városában?; hol lehet jót enni Naples városában? Végül keress szállást Naples városában 6 éjszakára, 90 EUR/éj alatt. Tartsd be a fenti kereteket.",hotel|location|restaurant|transport,multi
RT090237,hu,"Szeretnék viszonylag központi helyeket. Hogyan közlekedjek Róma városában 6 napig?; melyik országban van Róma, és milyen pénzt használnak? Rövid, rangsorolt lista is elég.",location|transport,multi
RT223468,hu,"Egy közelgő útra készülök. Rövid városnézés lesz. Mi az, amit tényleg kár lenne kihagyni Innsbruck városában?",attractions,single
RT031963,en,I'm planning this for an upcoming trip. Find good vegan restaurants in Vienna under 15 EUR each.,restaurant,single
RT160095,hu,Gyors utazási kérdés: Ajánlj 3.5+ értékelésű szállást Warsaw városában 120 EUR alatt.; adj alapvető helyi tudnivalókat Warsaw városáról.,hotel|location,multi
RT186356,hu,"Szeretném rendesen megtervezni az utat. Melyik országban van Tallinn, és milyen pénzt használnak? Tartsd be a fenti kereteket.",location,single
RT048980,en,"I'm planning this for an upcoming trip. What transit pass makes sense in Nice for 9 days? And i need practical local information about Nice. Next, help me shortlist hotels in Nice: 9 nights, max 120 EUR/night. Then what should I see in Nice?",attractions|hotel|location|transport,multi
RT200478,en,I'm putting together my itinerary. Shortlist a place to sleep in Copenhagen for 3 nights; ceiling 140 EUR nightly.,hotel,single
RT026284,hu,Hol lehet jót enni Zagreb városában?,restaurant,single
RT235085,en,Do I need a coat or umbrella for Oslo on a 4-day trip?,weather,single
RT224846,hu,Utazást tervezek. Jó vacsorát szeretnék Helsinki városában 39 euró körül. Ezután szervezd meg a városi közlekedésemet Helsinki városában 10 napra.,restaurant|transport,multi
RT008904,hu,"Hol egyek Berlin városában körülbelül 24 EUR/fő keretből? A szállás már megvan, hotelt ne keress.",restaurant,single
RT070754,hu,Egy gyakorlati kérdés: Ajánlj vacsorahelyeket Dubrovnik városában.,restaurant,single
RT223499,hu,"Jövő héten készülök. Szeretném rendesen megtervezni az utat. Kérek néhány étteremötletet Bologna városában, lehetőleg bakery/café konyhával. Továbbá milyen időjáráshoz igazítsam a programot Bologna városában?",restaurant|weather,multi
RT059576,hu,"Jövő héten készülök. Melyik országban van Berlin, és milyen pénzt használnak?",location,single
RT190844,en,"For an upcoming city break, Estimate public transport costs in Warsaw for 7 days. I already booked my hotel, so don't search accommodation.",transport,single
RT085055,en,"For an upcoming city break, What transit pass makes sense in Bologna for 1 days? And find good Mediterranean restaurants in Bologna under 42 EUR each. I'd rather avoid unnecessary detours.",restaurant|transport,multi
RT178189,hu,"Nem gond, ha sokat kell sétálni. Várható eső Zurich környékén a 3 napos utam alatt? Továbbá hogyan közlekedjek Zurich városában 3 napig?",transport|weather,multi
RT035463,hu,Most járok ott először. Hol lehet jót enni Malta városában? Végül milyen idő várható Malta városában 3 napig?,restaurant|weather,multi
RT229602,hu,Szeretném rendesen megtervezni az utat. Jó vacsorát szeretnék Bologna városában 33 euró körül.,restaurant,single
RT012900,en,"I'm planning this for an upcoming trip. Give me the practical basics for Valencia: currency, language and timezone. On top of that, where can I sleep in Valencia for 8 nights without going over 100 EUR a night? Also, give me dinner options in Valencia with a budget around 21 EUR. A short ranked list is enough.",hotel|location|restaurant,multi
RT235973,en,"We're travelling as a couple. How do locals get around Munich, and what should I buy for 1 days? Then find me a base in Munich for 1 nights with 140 EUR as the nightly limit.; what conditions should I plan around in Munich for 1 days? Also, what money, language and time zone apply in Munich?",hotel|location|transport|weather,multi
RT165128,en,"Give me dinner options in Dubrovnik with a budget around 45 EUR. Also, which country, currency and language should I expect in Dubrovnik? I'd rather avoid unnecessary detours.",location|restaurant,multi
RT108371,en,"I'm planning this for an upcoming trip Before I book the rest of the trip, Suggest places worth visiting in Hamburg with tickets under 5 EUR Then tell me the local currency and timezone for Hamburg A short ranked list is enough",attractions|location,multi
RT224155,hu,"Családdal utazom. Még nincs szállásom Milan városában: 9 éj, 180 EUR/éj. Végül jó vacsorát szeretnék Milan városában 30 euró körül. Ha már itt tartunk, kulturális programokból álló listát kérek Milan városára. Első alkalommal megyek.",attractions|hotel|restaurant,multi
RT162060,en,I'm planning this later this month. I'm putting together my itinerary. Give me destination facts for Salzburg.,location,single
RT094920,en,Find good local restaurants in Nice under 54 EUR each. I'd rather avoid unnecessary detours.,restaurant,single
RT020419,hu,Milyen tömegközlekedési bérletet érdemes venni Cologne városában 8 napra?,transport,single
RT104602,hu,"Mi a pénznem és az időzóna Hamburg városában? Továbbá mutasd a metró-, busz- és bérletlehetőségeket Hamburg városában.",location|transport,multi
RT149027,hu,"Keress Asian éttermet Bécs városában 42 EUR/fő alatt.; kulturális programokat keresek Bécs városában. Nem szeretnék felesleges kerülőket. A szállás már megvan, hotelt ne keress.",attractions|restaurant,multi
RT203288,hu,Mutass Italian helyeket Ljubljana városában.,restaurant,single
RT019002,en,"Help me plan this properly. Compare local public-transport tickets in Helsinki for a 7-day trip. On top of that, find museums, parks or historic places in Helsinki. On top of that, help me shortlist hotels in Helsinki: 7 nights, max 220 EUR/night.; give me the practical basics for Helsinki: currency, language and timezone. A short ranked list is enough.",attractions|hotel|location|transport,multi
RT109048,hu,Milyen tömegközlekedési bérletet érdemes venni Split városában 4 napra?,transport,single
RT174589,hu,"Utazást tervezek. Autó nélkül hogyan járjam be Oslo városát? Ezután adj gyakorlati információkat Oslo városáról: pénznem, nyelv és időzóna. És ajánlj vacsorahelyeket Oslo városában.",location|restaurant|transport,multi
RT035244,hu,"Gyors utazási kérdés: 8 napot töltök Ljubljana városában; milyen időre készüljek? Emellett kulturális programokat keresek Ljubljana városában. Ezután melyik országban van Ljubljana, és milyen pénzt használnak? Első alkalommal megyek.",attractions|location|weather,multi
RT210002,hu,Inkább praktikus megoldásokat keresek. Egy gyakorlati kérdés: Hogyan töltenél egy városnézős napot Sofia városában?,attractions,single
RT101831,en,"I'm travelling with family. Before I book the rest of the trip, What should I see in Bologna? Next, suggest somewhere good to eat in Bologna. Next, what transit pass makes sense in Bologna for 3 days? Please use the constraints above.",attractions|restaurant|transport,multi
RT188881,hu,Szeretném rendesen megtervezni az utat. Keress Middle Eastern éttermet Belgrade városában 48 EUR/fő alatt.,restaurant,single
RT155148,en,I'd rather keep the plan flexible. Suggest places worth visiting in Hamburg with tickets under 40 EUR.,attractions,single
RT171601,en,"I'd rather keep the plan flexible. How should I get around Malta for 8 days? Next, give me the practical basics for Malta: currency, language and timezone. While you're at it, suggest places worth visiting in Malta with tickets under 50 EUR.",attractions|location|transport,multi
RT147852,en,"I'm putting together my itinerary. Suggest somewhere good to eat in Seville. Also, show metro, bus and pass options for Seville. I'd rather avoid unnecessary detours.",restaurant|transport,multi
RT045170,en,"I'm planning this next week. Help me plan this properly. Is Sarajevo likely to be rainy during a 10-day visit? Then show accommodation in Sarajevo for 10 nights with a nightly cap of 190 EUR. I also need this: find restaurants in Sarajevo, preferably bakery/café, rated at least 4.0.",hotel|restaurant|weather,multi
RT094593,hu,"Épp összeállítom a programomat. Jó éttermeket keresek Dubrovnik városában, maximum 42 eurós étkezéssel. Ezután mennyibe kerül a helyi közlekedés Dubrovnik városában 9 napra?; várható eső Dubrovnik környékén a 9 napos utam alatt? Első alkalommal megyek.",restaurant|transport|weather,multi
RT177114,hu,"Utazást tervezek. Adj alapvető helyi tudnivalókat Tallinn városáról. Emellett hol szálljak meg Tallinn városában 8 éjszakára, ha 200 EUR a napi keret? Emellett mit érdemes megnézni Tallinn városában?",attractions|hotel|location,multi
RT153022,hu,"Utazást tervezek. 2 napot töltök Zagreb városában; milyen időre készüljek? Továbbá mivel töltenél el egy fél napot Zagreb városában? Továbbá mi a pénznem és az időzóna Zagreb városában? Rövid, rangsorolt lista is elég.",attractions|location|weather,multi
RT158180,en,"Show metro, bus and pass options for Hamburg. And what's the weather looking like in Hamburg for 3 days? I prefer practical options.",transport|weather,multi
RT211039,en,"I care more about value than luxury. What local facts matter for a first visit to Dubrovnik? On top of that, how would you spend sightseeing time in Dubrovnik?",attractions|location,multi
RT004275,hu,"Mutasd a metró-, busz- és bérletlehetőségeket Split városában. Továbbá mit érdemes megnézni Split városában?",attractions|transport,multi
RT147199,hu,"Hogyan közlekedjek Florence városában 8 napig? Ha már itt tartunk, 8 éjszakára kell hotel Florence városában, maximum 100 euróért éjszakánként.",hotel|transport,multi
RT126024,hu,"Egy tavaszi kiruccanásra készülök. Páros utazás lesz. Épp összeállítom a programomat. 5 éjszakára kell hotel Split városában, maximum 140 euróért éjszakánként. Továbbá várható eső Split környékén a 5 napos utam alatt?",hotel|weather,multi
RT014225,en,I'm planning this for a spring break. I'm putting together my itinerary. Where should I eat in Hamburg for about 48 EUR per person?,restaurant,single
RT072388,hu,"Inkább praktikus megoldásokat keresek. Mit érdemes tudnom Róma városáról indulás előtt? Arra is szükségem van, hogy autó nélkül hogyan járjam be Róma városát?",location|transport,multi
RT223111,hu,"Szeretném rendesen megtervezni az utat. Jó vacsorát szeretnék Lisbon városában 27 euró körül. Ha már itt tartunk, milyen időjáráshoz igazítsam a programot Lisbon városában?",restaurant|weather,multi
RT234602,hu,"Mi az ésszerű tömegközlekedési megoldás Barcelona városában?; legyen egy bázisom Barcelona városában 1 éjszakára, 160 EUR legyen a felső határ.",hotel|transport,multi
RT099178,hu,"Melyik országban van Luxembourg, és milyen pénzt használnak? Ha már itt tartunk, hogyan közlekedjek Luxembourg városában 5 napig?",location|transport,multi
RT112124,hu,"Ezen a hétvégén készülök. Utazást tervezek. Adj alapvető helyi tudnivalókat Malta városáról. Továbbá mutass szobákat Malta városában 9 éjre legfeljebb 190 euróért. Ha már itt tartunk, kell esernyőt vinnem Malta városába a következő 9 napra?",hotel|location|weather,multi
RT083026,en,A practical question: What should I see in Athens? This is for a first visit.,attractions,single
RT129705,hu,Hol lehet jót enni Venice városában? Továbbá ajánlj múzeumokat és nevezetességeket Venice városában.,attractions|restaurant,multi
RT002515,hu,"Nézd meg Krakkó 8 napos időjárás-előrejelzését. És ajánlj múzeumokat és nevezetességeket Krakkó városában. Emellett 8 éjszakára kell hotel Krakkó városában, maximum 80 euróért éjszakánként.; adj gyakorlati információkat Krakkó városáról: pénznem, nyelv és időzóna. Rövid, rangsorolt lista is elég.",attractions|hotel|location|weather,multi
RT111004,en,What's the weather looking like in Naples for 3 days?,weather,single
RT030946,en,"Look for well-rated rooms in Gdansk for 1 nights, preferably below 90 EUR. Next, find restaurants in Gdansk, preferably Asian, rated at least 3.5. Then which country, currency and language should I expect in Gdansk?",hotel|location|restaurant,multi
RT229651,hu,Egy tavaszi kiruccanásra készülök. Családdal utazom. Utazást tervezek. Alkalmas lesz az idő szabadtéri programokra Bécs városában?; jó vacsorát szeretnék Bécs városában 33 euró körül. Tartsd be a fenti kereteket.,restaurant|weather,multi
RT164015,hu,"Egy gyakorlati kérdés: 10 napot töltök Sofia városában; milyen időre készüljek? Ha már itt tartunk, adj alapvető helyi tudnivalókat Sofia városáról.; hol egyek Sofia városában körülbelül 39 EUR/fő keretből? Nem szeretnék felesleges kerülőket.",location|restaurant|weather,multi
RT065818,en,"Suggest places worth visiting in Rome with tickets under 15 EUR. On top of that, where can I sleep in Rome for 3 nights without going over 220 EUR a night?",attractions|hotel,multi
RT161383,hu,"Nem gond, ha sokat kell sétálni. Adj alapvető helyi tudnivalókat Bucharest városáról.",location,single
RT218541,en,"I'm planning this next week. This is a first visit. A practical question: Is outdoor sightseeing sensible in Ljubljana over the next 1 days? Then where would you go for food in Ljubljana with roughly 15 EUR a head? While you're at it, where can I stay in Ljubljana for 1 nights on at most 150 EUR each night?",hotel|restaurant|weather,multi
RT042695,hu,"Mielőtt mindent lefoglalok, Várható eső Brussels környékén a 5 napos utam alatt?",weather,single
RT209441,hu,Egy közelgő útra készülök. Szeretnék viszonylag központi helyeket. Tudsz szállást találni Tallinn városában 8 éjszakára 140 eurós plafonnal?; hol vacsorázzak Tallinn városában 51 euró körüli kerettel?,hotel|restaurant,multi
RT127528,en,"I'm planning this for an upcoming trip. I'm travelling with family. I need food recommendations in Nicosia; keep meals below 27 EUR. Also, tell me the local currency and timezone for Nicosia. A short ranked list is enough.",location|restaurant,multi
RT008487,en,"I'm planning this later this month. It's a short city break. Before I book the rest of the trip, Suggest somewhere good to eat in Dublin.",restaurant,single
RT199390,en,"It's a short city break. How would you spend sightseeing time in Split? And shortlist a place to sleep in Split for 7 nights; ceiling 130 EUR nightly. While you're at it, what sort of conditions are forecast for Split across 7 days? While you're at it, i need a dinner shortlist for Split, around 21 EUR each.",attractions|hotel|restaurant|weather,multi
RT042862,en,"I'm planning this this weekend. I'm packing for Berlin; what conditions should I expect for 8 days? I also need this: help me shortlist hotels in Berlin: 8 nights, max 150 EUR/night. Then find restaurants in Berlin, preferably bakery/café, rated at least 4.5.",hotel|restaurant|weather,multi
RT184870,en,"I'm planning this for an upcoming trip. I care more about value than luxury. Look for well-rated rooms in Berlin for 7 nights, preferably below 140 EUR. This is for a first visit.",hotel,single
RT004499,en,"I'm travelling with family. Find restaurants in Oslo, preferably Indian, rated at least 3.5. Next, tell me the local currency and timezone for Oslo.",location|restaurant,multi
RT102878,hu,"Mutass legalább 4.5 értékelésű éttermeket Budapest városában. A szállás már megvan, hotelt ne keress.",restaurant,single
RT002210,hu,"Jó éttermeket keresek Ljubljana városában, maximum 42 eurós étkezéssel. Ha már itt tartunk, mutass szobákat Ljubljana városában 3 éjre legfeljebb 140 euróért. Arra is szükségem van, hogy melyik országban van Ljubljana, és milyen pénzt használnak?",hotel|location|restaurant,multi
RT234298,en,"I'm planning this later this month. For an upcoming city break, I want a good meal in Venice; what fits around 60 EUR?; what money, language and time zone apply in Venice? On top of that, i still need lodging in Venice; 4 nights, budget 210 EUR/night. Please use the constraints above.",hotel|location|restaurant,multi
RT149542,hu,"Hol szálljak meg Porto városában 1 éjszakára, ha 170 EUR a napi keret? Tartsd be a fenti kereteket.",hotel,single
RT229244,hu,"Az ár-érték arány fontosabb a luxusnál. Épp összeállítom a programomat. Milyen pénz, nyelv és időzóna van Dubrovnik városában? Ha már itt tartunk, hol tudok megszállni Dubrovnik városában 7 éjszakára legfeljebb 120 euróért? Étteremajánlásra nincs szükségem.",hotel|location,multi
RT163145,en,"This is a first visit. Help me plan this properly. I need practical local information about Hamburg. Next, give me dinner options in Hamburg with a budget around 36 EUR.",location|restaurant,multi
RT219675,en,Quick travel question: Give me the key practical facts for Dubrovnik. No restaurant suggestions are needed.,location,single
RT043662,en,"This is a first visit. Compare local public-transport tickets in Warsaw for a 9-day trip. Also, find somewhere to stay in Warsaw for 9 nights under 90 EUR per night.; what should I see in Warsaw?",attractions|hotel|transport,multi
RT137278,hu,Gyors utazási kérdés: Adj alapvető helyi tudnivalókat Dubrovnik városáról. Ezután ajánlj 4.5+ értékelésű szállást Dubrovnik városában 100 EUR alatt.,hotel|location,multi
RT116876,en,"I'm planning this for a quick getaway. What transit pass makes sense in Budapest for 7 days?; fill half a day in Budapest with attractions.; look for well-rated rooms in Budapest for 7 nights, preferably below 80 EUR. Next, i'm packing for Budapest; what conditions should I expect for 7 days?",attractions|hotel|transport|weather,multi
RT207448,en,"Work out local transit choices for Hamburg. While you're at it, can you find a bed in Hamburg for 6 nights inside a 190 EUR nightly budget?",hotel|transport,multi
RT071014,hu,Egy gyakorlati kérdés: Számolj közlekedési keretet Thessaloniki városára 1 napra. Végül keress 35 EUR alatti belépőjű látnivalókat Thessaloniki városában. Tartsd be a fenti kereteket.,attractions|transport,multi
RT199215,en,I'm putting together my itinerary. Would you pack rain gear for Vilnius for the coming 5 days?,weather,single
RT101948,hu,"Egy közelgő útra készülök. Jó éttermeket keresek Istanbul városában, maximum 27 eurós étkezéssel. Végül mit érdemes megnézni Istanbul városában? Végül adj alapvető helyi tudnivalókat Istanbul városáról. Rövid, rangsorolt lista is elég.",attractions|location|restaurant,multi
RT134628,en,"Before I book the rest of the trip, Suggest places worth visiting in Stockholm with tickets under 50 EUR. I also need this: look for well-rated rooms in Stockholm for 9 nights, preferably below 70 EUR.",attractions|hotel,multi
RT057409,en,"I'd like to stay fairly central. What transit pass makes sense in Valencia for 7 days? And which country, currency and language should I expect in Valencia? On top of that, find restaurants in Valencia, preferably Asian, rated at least 4.5. Also, build a sightseeing list for Valencia, especially museums and landmarks. This is for a first visit.",attractions|location|restaurant|transport,multi
RT136814,en,I'm planning this for a quick getaway. Where should I eat in Hamburg for about 15 EUR per person? Please use the constraints above.,restaurant,single
RT108617,en,I'm planning this for a quick getaway. Check the forecast in Oslo for my 4-day stay.,weather,single
RT139342,hu,"Egyedül utazom. Keress szállást Nicosia városában 7 éjszakára, 190 EUR/éj alatt. Emellett hogyan közlekedjek Nicosia városában 7 napig? És mi a pénznem és az időzóna Nicosia városában? Tartsd be a fenti kereteket.",hotel|location|transport,multi
RT186393,hu,Jövő héten készülök. Gyors utazási kérdés: Milyen tömegközlekedési bérletet érdemes venni Seville városában 1 napra? Tartsd be a fenti kereteket.,transport,single
RT054015,hu,"Szeretném rendesen megtervezni az utat. Ajánlj vacsorahelyeket Valencia városában. Arra is szükségem van, hogy 9 éjszakára kell hotel Valencia városában, maximum 100 euróért éjszakánként. Ha már itt tartunk, mivel töltenél el egy fél napot Valencia városában? És mennyibe kerül a helyi közlekedés Valencia városában 9 napra? Rövid, rangsorolt lista is elég.",attractions|hotel|restaurant|transport,multi
RT024030,en,"I'm putting together my itinerary. Give me dinner options in Zagreb with a budget around 27 EUR. While you're at it, what transit pass makes sense in Zagreb for 4 days? Next, is Zagreb likely to be rainy during a 4-day visit? Then give me destination facts for Zagreb.",location|restaurant|transport|weather,multi
RT172209,en,"Quick travel question: Find museums, parks or historic places in Skopje. Please use the constraints above.",attractions,single
RT077247,en,"I'm planning this next week. What's the weather looking like in Malta for 5 days? On top of that, give me the practical basics for Malta: currency, language and timezone.",location|weather,multi
RT115430,en,"I'm planning this for a spring break. Give me the practical basics for Helsinki: currency, language and timezone. Next, show metro, bus and pass options for Helsinki.",location|transport,multi
RT005103,hu,Egy gyakorlati kérdés: Hogyan közlekedjek Vilnius városában 5 napig? Ezután mutass szobákat Vilnius városában 5 éjre legfeljebb 150 euróért. Emellett milyen hőmérsékletre és csapadékra számítsak Vilnius városában?,hotel|transport|weather,multi
RT002062,hu,"Inkább praktikus megoldásokat keresek. Keress szállást Athens városában 9 éjszakára, 120 EUR/éj alatt. Első alkalommal megyek.",hotel,single
RT104860,hu,"Autó nélkül hogyan járjam be Párizs városát? Végül keress szállást Párizs városában 3 éjszakára, 180 EUR/éj alatt. Végül milyen nyelvre és pénznemre készüljek Párizs városában?",hotel|location|transport,multi
RT067502,en,"This is a first visit. What transit pass makes sense in Riga for 3 days? Also, is Riga likely to be rainy during a 3-day visit?",transport|weather,multi
RT035666,en,I don't mind walking. I need food recommendations in Vilnius; keep meals below 15 EUR. I prefer practical options.,restaurant,single
RT157479,hu,Még ebben a hónapban készülök. Rugalmas programot szeretnék. Milyen hőmérsékletre és csapadékra számítsak London városában? Tartsd be a fenti kereteket.,weather,single
RT194917,hu,Tudsz szállást találni Porto városában 9 éjszakára 70 eurós plafonnal?,hotel,single
RT078682,hu,"Az ár-érték arány fontosabb a luxusnál. Egy gyakorlati kérdés: Mutasd a metró-, busz- és bérletlehetőségeket Helsinki városában.; hol egyek Helsinki városában körülbelül 57 EUR/fő keretből?",restaurant|transport,multi
RT053459,hu,"Ezen a hétvégén készülök. 4 napot töltök Lyon városában; milyen időre készüljek? És adj gyakorlati információkat Lyon városáról: pénznem, nyelv és időzóna. És mutasd a metró-, busz- és bérletlehetőségeket Lyon városában. Ha már itt tartunk, kulturális programokat keresek Lyon városában. Első alkalommal megyek. Étteremajánlásra nincs szükségem.",attractions|location|transport|weather,multi
RT046363,hu,"Még ebben a hónapban készülök. Inkább praktikus megoldásokat keresek. Mielőtt mindent lefoglalok, Keress bakery/café éttermet Amsterdam városában 21 EUR/fő alatt. Végül keress 50 EUR alatti belépőjű látnivalókat Amsterdam városában. Legyen inkább praktikus a válasz.",attractions|restaurant,multi
RT177622,en,I'm planning a trip. Show accommodation in Munich for 1 nights with a nightly cap of 140 EUR. I'd rather avoid unnecessary detours.,hotel,single
RT058098,en,"Show accommodation in Bratislava for 2 nights with a nightly cap of 160 EUR. While you're at it, is Bratislava likely to be rainy during a 2-day visit?",hotel|weather,multi
RT057309,hu,"Jövő héten készülök. Most járok ott először. Jó éttermeket keresek Tirana városában, maximum 51 eurós étkezéssel.",restaurant,single
RT021025,hu,"Ezen a hétvégén készülök. 2 éjszakára kell hotel Nice városában, maximum 90 euróért éjszakánként. Továbbá ajánlj múzeumokat és nevezetességeket Nice városában. Továbbá hol egyek Nice városában körülbelül 45 EUR/fő keretből?",attractions|hotel|restaurant,multi
RT138243,en,"Help me shortlist hotels in Seville: 4 nights, max 180 EUR/night. Then i'm packing for Seville; what conditions should I expect for 4 days?; compare local public-transport tickets in Seville for a 4-day trip. Please keep the answer concise. No restaurant suggestions are needed.",hotel|transport|weather,multi
RT027208,hu,"Mutasd a metró-, busz- és bérletlehetőségeket Krakkó városában. Legyen inkább praktikus a válasz.",transport,single
RT002823,hu,"Ezen a hétvégén készülök. Mi a pénznem és az időzóna Thessaloniki városában? Ezután mutasd a metró-, busz- és bérletlehetőségeket Thessaloniki városában. Tartsd be a fenti kereteket.",location|transport,multi
RT223848,hu,"Inkább praktikus megoldásokat keresek. Épp összeállítom a programomat. Mely látnivalókat priorizálnád Copenhagen városában? És milyen pénz, nyelv és időzóna van Copenhagen városában?",attractions|location,multi
RT142784,hu,"Egyedül utazom. Mielőtt mindent lefoglalok, Milyen hőmérsékletre és csapadékra számítsak Warsaw városában? Arra is szükségem van, hogy hol szálljak meg Warsaw városában 9 éjszakára, ha 90 EUR a napi keret? Arra is szükségem van, hogy mit érdemes megnézni Warsaw városában?",attractions|hotel|weather,multi
RT207796,hu,"Egy gyakorlati kérdés: Mutass Indian helyeket Bologna városában. Arra is szükségem van, hogy mely kulturális helyeket vennéd előre Bologna városában?",attractions|restaurant,multi
RT004881,hu,"Mennyibe kerül a helyi közlekedés Luxembourg városában 4 napra? Arra is szükségem van, hogy ajánlj múzeumokat és nevezetességeket Luxembourg városában. Ezután milyen hőmérsékletre és csapadékra számítsak Luxembourg városában?",attractions|transport|weather,multi
RT209262,en,"For an upcoming city break, Where could I have a decent meal in Paris without exceeding 21 EUR? I prefer practical options.",restaurant,single
RT207265,hu,"Még ebben a hónapban készülök. Most járok ott először. Épp összeállítom a programomat. Hogyan töltenél egy városnézős napot Ljubljana városában? Rövid, rangsorolt lista is elég.",attractions,single
RT211109,hu,Egyedül utazom. Foglalj össze minden fontos helyi alapinformációt Thessaloniki városáról.,location,single
RT151106,hu,"Rugalmas programot szeretnék. Gyors utazási kérdés: Nézd meg Porto 9 napos időjárás-előrejelzését.; mit érdemes tudnom Porto városáról indulás előtt? Emellett keress 35 EUR alatti belépőjű látnivalókat Porto városában. Rövid, rangsorolt lista is elég.",attractions|location|weather,multi
RT034006,hu,"Jövő héten készülök. Keress szállást Edinburgh városában 3 éjszakára, 220 EUR/éj alatt. Továbbá adj gyakorlati információkat Edinburgh városáról: pénznem, nyelv és időzóna. Emellett hogyan közlekedjek Edinburgh városában 3 napig?",hotel|location|transport,multi
RT227099,hu,Kabát vagy esernyő kell inkább Ljubljana városába 4 napra? Legyen inkább praktikus a válasz.,weather,single
RT194938,hu,Még ebben a hónapban készülök. Rugalmas programot szeretnék. Gyors utazási kérdés: Mennyire lesz meleg vagy esős Bratislava a 5 napos kiruccanás alatt?,weather,single
RT074980,en,I don't mind walking. What transit pass makes sense in Vilnius for 4 days? And is Vilnius likely to be rainy during a 4-day visit? A short ranked list is enough.,transport|weather,multi
RT035494,hu,"Épp összeállítom a programomat. Adj gyakorlati információkat Berlin városáról: pénznem, nyelv és időzóna. Végül mutass legalább 4.0 értékelésű éttermeket Berlin városában. Ezután kulturális programokat keresek Berlin városában. Tartsd be a fenti kereteket.",attractions|location|restaurant,multi
RT192078,hu,Most járok ott először. Mi a legegyszerűbb helyi közlekedés Róma városában 8 napra? Nem szeretnék felesleges kerülőket.,transport,single
RT187306,en,"I'm planning this this weekend. Help me plan this properly. Build a sightseeing list for Dubrovnik, especially museums and landmarks. While you're at it, can I move around Dubrovnik without a car, and what will it cost for 5 days? A short ranked list is enough.",attractions|transport,multi
RT084079,hu,Jövő héten készülök. Milyen idő várható Innsbruck városában 5 napig? Tartsd be a fenti kereteket.,weather,single
RT089129,en,"Help me shortlist hotels in Geneva: 10 nights, max 120 EUR/night. On top of that, i need food recommendations in Geneva; keep meals below 60 EUR.",hotel|restaurant,multi
RT089951,en,"I'm putting together my itinerary. Can I move around Geneva without a car, and what will it cost for 7 days? I prefer practical options. No restaurant suggestions are needed.",transport,single
RT158890,en,"Give me the practical basics for Lisbon: currency, language and timezone. Please use the constraints above.",location,single
RT082220,hu,"nem gond, ha sokat kell sétálni. hol szálljak meg tirana városában 5 éjszakára, ha 100 eur a napi keret? továbbá kulturális programokat keresek tirana városában. végül mit érdemes tudnom tirana városáról indulás előtt? tartsd be a fenti kereteket.",attractions|hotel|location,multi
RT089161,hu,"Adj gyakorlati információkat Split városáról: pénznem, nyelv és időzóna. Ezután hol egyek Split városában körülbelül 60 EUR/fő keretből? Arra is szükségem van, hogy 9 napot töltök Split városában; milyen időre készüljek?",location|restaurant|weather,multi
RT210993,hu,"Páros utazás lesz. Utazást tervezek. Első utazás előtt mit kell tudni Amsterdam városáról? Arra is szükségem van, hogy amsterdam városában keresek alvóhelyet 1 éjre, éjszakánként legfeljebb 80 EUR-ért. Végül tervezd meg a helyi utazásomat Amsterdam városában. Rövid, rangsorolt lista is elég.",hotel|location|transport,multi
